filled_paraphrased_canonical	masked_sparql_query
Компания розничная торговля управляется сколькими директорами?	select count ( distinct ?x0 ) where { SUBJ_1 dr:company_director ?x0 . }
Какое среднее число альтернативных названий, основным компонентом которого является Трисамарийдигаллий?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:alias ?x0 . }
Какого года рождения Виноградов Андрей Юрьевич?	select distinct ?x0 where { SUBJ_1 dr:birth_day ?x0 . }
Как ещё называется химический элемент, названный в честь Суворово?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
Какое количество альтернативных названий у вещества, из которого построен небоскрёб Храм апостола Иоанна Богослова под Вязом? 	select ?x0 where { SUBJ_1 dr:material ?dummy . ?dummy dr:alias ?x0 . }
Город Асбестовский городской округ находится в юрисдикции России, сколько в среднем ей лет?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
Каким возрастом обладает государство,  на территории которого находится Парень из преисподней	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:period_country ?x0 . }
В каком году начал творческую деятельность родственник Романюк Сергей Дмитриевич? 	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:work_period_start ?x0 . }
сколько литературных произведений с присутствием Грэм Боннэт?	select count ( distinct ?x0 ) where { SUBJ_1 dr:present_in_literary_work ?x0 . }
Сколько всего лет существует страна, которая основала Duran Duran?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:period_country ?x0 . }
код у супруги Накадай Тацуя	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy wdt:p2604 ?x0 . }
В каком году родился Митфорд Юнити	select distinct ?x0 where { SUBJ_1 dr:birth_day ?x0 . }
Кто находится в политической партии генерал лейтенант 	select distinct ?x0 where { ?x0 dr:political_party OBJ_1 . }
Знаете ли вы какова площадь страны, в которой был основан BioWare?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:area ?x0 . }
время существования страны, на территории которой расположен центральный офис Уралвагонзавод?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
значение валентности у Хлорталидон какое 	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
Сколько всего работников в компании, владельцем которой является Shazam?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Какие компании были созданы на территории Российская империя?	select distinct ?x0 where { ?x0 dr:company_inception_place OBJ_1 . }
Какие варианты логотипов имеется у  у организации, выпускающей продукт компании VMware?	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_logo ?x0 . }
Много ли работ принадлежит ребёнку Годреш Жюдит? 	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:count_works ?x0 . }
Если пересчитать все водоёмы, которые омывают Турция, то какое число получится?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Какие страны имеют общую границу с Нидерланды? 	select distinct ?x0 where { ?x0 dr:borders_country OBJ_1 . }
Кому принадлежит создание произведения Русское поле?	select distinct ?x0 where { ?x0 dr:composed OBJ_1 . }
Какое число работ написано с упоминанием местности, в которой расположен Храм Геркулеса?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:count_works_char ?x0 . }
Кто владелец компании Western Digital и Fox Broadcasting Company	select ?x0 where { ?x0 dr:company_owner OBJ_1 . ?x0 dr:company_owner OBJ_1 . }
Какое количество человек в стране граничащей с Белоруссия	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_count ?x0 . }
Родственник Стефан Яворский сколько раз сочетался браком?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:marriage_count ?x0 . }
Какова максимальная протяженность страны, в юрисдикции которой находится ШахдагDUMMY?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
В каком году закрылась марка Замок Лаукен?	select distinct ?x0 where { SUBJ_1 dr:company_end_date ?x0 . }
Кто отец Ширеа Гаэтано	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Сколько времени займет просмотр фильма, в котором снимался Джованни Болдини и одновременно был его режиссером?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Чьи компании Мельница и Raspberry Pi	select ?x0 where { ?x0 dr:company_owner OBJ_1 . ?x0 dr:company_owner OBJ_1 . }
Дата рождения мамы Сетнахт? 	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:birth_day ?x0 . }
Как много метров высота над уровнем моря у Ден	select distinct ?x0 where { SUBJ_1 dr:elevation ?x0 . }
